ts	phase	decision	why	evidence	result
2026-09-04T21:17:00Z	frame	review all 14 Python modules and the current four-file diff	whole-repo request needs broad coverage while preserving existing user edits	CLAUDE.md, docs/adr/, git diff --stat	6456 Python lines; existing beam.py trace, bench.py trace, ms.py archive, and how-it-works.html edits preserved
2026-09-04T21:17:00Z	baseline	ran every offline check listed in CLAUDE.md before editing	capture the current working state before judging fixes	python3 ms.py through python3 test_mutations.py	all 10 commands exited 0; 38/38 mutations caught
2026-09-04T21:32:56Z	design	use candidate 1 with six judge grafts	it removes each reproduced root cause with the smallest safe owner change	/tmp/naru-codebase-review-design/candidate-{1,2}/design.md and independent judge	add store UUID plus path, versioned receipts, one session index, noise exclusion counts, temp-file stderr, and in-memory RAG
2026-09-04T21:52:58Z	implementation	fix the six reproduced faults at their shared owners	callers now share one receipt check, one blob owner, one cleanup path, and one error filter	ms.py metrics.py naru.py kernel.py bench.py noise.py	store-bound receipts and GC, prompt-safe RAG, prompt return after child exit, honest noise results, and indexed outlines
2026-09-04T21:52:58Z	unslop	use private kernel cleanup during spawn and add direct search proof	public close hooks must describe caller cleanup; comments must have executable proof	python3 agent.py; comment_audit	stale test failure fixed at its premise; direct agent check exits 0
2026-09-04T21:52:58Z	verification	run every offline self-check plus mutation, syntax, and diff checks	prove behavior through the closest real paths	12 offline commands; python3 test_mutations.py; compileall; git diff --check	all exit 0; 51/51 mutations caught; 14 top-level Python files compile
2026-09-04T21:52:58Z	verification	drive the changed curation and maintenance CLI flows in isolated stores	verify user-visible receipt and store-local GC behavior	/var/folders/wq/9v00btg515q9kb23hzk0qgm80000gp/T/verify-naru-evidence.cwKSdH and /var/folders/wq/9v00btg515q9kb23hzk0qgm80000gp/T/verify-naru-evidence.jbKvh3	both final drives exit 0; one first maintenance fixture failed on a zsh empty glob and was corrected
2026-09-04T21:54:43Z	dev-review	accept the implementation after three independent read-only lanes	correctness, lifecycle, and test reviewers found no release-level fault	final_correctness final_craft final_tests	no blocker or major findings; targeted checks exit 0
2026-09-04T21:57:07Z	verification-correction	use each module's offline self-check entry point	the default noise and backend commands need inputs or a live service; bench and beam defaults start full runs	python3 noise.py --selfcheck; python3 backend.py --selfcheck; python3 bench.py --selfcheck; python3 beam.py --selfcheck	initial wrong-form noise and backend commands exited 1 and bench and beam outlived the first wait; all four corrected commands exit 0
2026-09-04T21:57:07Z	trail-review	pass the independent evidence audit with two record-only notes	live code, checks, and evidence support every material result	trail_audit	PASS; the failed fixture parent log was not saved, and the trail now lists the pre-existing files
2026-09-04T22:19:36Z	ponytail	apply the four complexity cuts from ponytail-review	remove duplicate docs and one-use plumbing before commit	how-it-works.html ms.py naru.py kernel.py	removed the duplicate file table, pass-through receipt wrapper, generic metadata map, and nested kill suppression
2026-09-04T22:19:36Z	verification	run the full offline suite after the cuts	prove the shorter code keeps the same behavior	15 offline and static commands plus verify-naru evidence /var/folders/wq/9v00btg515q9kb23hzk0qgm80000gp/T/verify-naru-evidence.XYHz6l	all exit 0; 50/50 mutations caught; HTML parsed
