ts	phase	decision	why	evidence	result
2026-09-01T08:16:08Z	frame	set four checks for done: state recovery, skill injection, source provenance, and measured prompt cost	the request changes stored memory behavior and needs facts a reviewer can rerun	agent.py, ms.py, naru.py, bench.py	open
2026-09-01T08:16:08Z	ground	kept one SQLite Event Log as the store	claims, traces, and promotion already use it; another store would split ownership	CLAUDE.md, docs/adr/0004-naru-and-the-curation-layer.md	verified
2026-09-01T08:16:08Z	measure	selected LOCA as the external benchmark target	LOCA compares agent scaffolds while holding task meaning fixed; BEAM starts at 128K and costs more to run	https://github.com/hkust-nlp/LOCA-bench	open
2026-09-01T08:20:10Z	measure	switched the first external run from LOCA to BEAM	BEAM maps to the existing question path; LOCA needs a separate runtime and an API key	/private/tmp/beam, /private/tmp/loca-bench	adapter in progress
2026-09-01T08:52:07Z	baseline	recorded the pre-feature offline gate	this separates existing run-trace work from the state and skill change	ms.py, kernel.py, eviction.py, agent.py, naru.py, hook_spill.py, noise.py, bench.py, test_mutations.py	all passed; bench 19/24; mutations 29/29
2026-09-01T08:58:11Z	measure	limited BEAM to deterministic local measures	Claude CLI is logged out and Codex auth returns 401; an answer score would be false	claude probe, codex exec probe, BEAM b2da22eac88bb0874c64665f13457eb99835774a	measure prompt size, recovery, and promotion leakage; answer quality unmeasured
2026-09-01T08:59:00Z	baseline	ran a six-turn replay over ten BEAM question types	the same retrieval and observation sequence can compare prompt growth without a model	.audit/beam-before.json	11179.7 mean total prompt tokens; 2948.8 mean peak; 2787 final view
2026-09-01T09:17:16Z	implement	stored canonical current state and raw run trace in the existing Event Log	one store keeps ordering, recovery, retention, and ownership in one place	agent.py, ms.py	state and latest observation replace the growing working view
2026-09-01T09:17:16Z	implement	reused claim curation for skills and source provenance	promotion was already the human activation gate	naru.py, ms.py	promoted skills render under Skills; promoted source ranges survive prune
2026-09-01T09:17:16Z	measure	reran the deterministic BEAM replay after the feature	the fixed six-turn sequence isolates prompt growth from model variance	.audit/beam-after.json, .audit/beam-comparison.json	82.2% less total prompt input; 86.6% lower peak prompt; 93.5% smaller final view
2026-09-01T09:17:16Z	verify	ran every offline module check and the mutation suite	changed storage, prompt, CLI, and pruning paths all need executable proof	ms.py, kernel.py, eviction.py, agent.py, naru.py, hook_spill.py, noise.py, bench.py, backend.py, beam.py, test_mutations.py	all exit 0; bench 19/24; mutations 35/35
2026-09-01T09:32:07Z	review	fixed every initial cross-model and comment audit finding	marker safety, temp cleanup, source scoping, retry trace, empty slices, and prune lookup needed direct checks	gpt-5.6-luna, pstack-comment-sicko	reviewed by gpt-5.6-luna: no flags; comment audit: no flags
2026-09-01T09:32:07Z	verify	reran the full offline suite and ten-question BEAM replay	the final tree must match the measured tree before commit	all module self-checks, test_mutations.py, beam.py --replay -n 10	all exit 0; mutations 35/35; mean total 1992.1; peak 395.0; view 180.0
